S/N,Sentences,Cause1,Effect1,Label
1,"Although most target genes of P. gingivalis two-component systems are unknown, the role of the FimS/FimR in expression of the fimA gene is well defined.",,,Non-Causal
2,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,growth in soil,Causal
3,"To determine the stage at which DeltabfiS and DeltabfmR mutant biofilms were arrested, the biofilm architecture of the mutant strains after 144 hr of growth was compared to the wild type P. aeruginosa biofilm architecture following 24, 72, and 144 hr of growth (Table 2).",,,Non-Causal
4,OmpR has been shown to respond to acidic pH via cadC [77].,,,Non-Causal
5,"Up to now, BvrR/BvrS is the best characterized two-component regulatory system of Brucella [2]-[4].",,,Non-Causal
6,"We investigated whether PmrB was also required for the pH-dependent induction of pbgP, which was chosen as a prototypical PmrA-activated gene because the PmrA protein binds to the pbgP promoter in vitro (Wosten and Groisman, 1999) and in vivo (Shin and Groisman, 2005).",,,Non-Causal
7,Results Microarray-Based Comparative Genome Sequencing of M. tuberculosis H37Ra The genome-wide comparative mutational analysis of H37Ra and H37Rv was carried out by NimbleGen Systems following a previously published method [13].,,,Non-Causal
8,This lower hinge region is not well conserved in the seven subgroups of horse IgG [17] (Table 1).,,,Non-Causal
9,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,Al3+-mediated killing,Causal
10,Putative SNPs with high probability scores were separated into synonymous and non-synonymous SNPs of which the latter were verified by conventional dye terminator cycle sequencing.,,,Non-Causal
11,"These genes encode an LPS modification pathway required for the addition of aminoarabinose to lipid A, which reduces the OM permeability to CAPs [48].",,,Non-Causal
12,"To our knowledge, this is the first description of a regulatory program for stage-specific biofilm development.",,,Non-Causal
13,The results showed that the mutant strain was no more susceptible to growth inhibition than was wild type Erdman under all of the stress conditions tested (Figure S2).,,,Non-Causal
14,"The multiple promoters located within SPI-2 presumably respond to differences in ssrB/slyA activation, perhaps establishing part of the temporal order of expression following phagocytosis of Salmonella.",,,Non-Causal
15,"However, Y. pestis is constitutively nonmotile, and synthesis of the Hms-dependent biofilm ECM is regulated post-translationally [26].",,,Non-Causal
16,"As the expression pattern changes with time after infection we computed the difference for each time as well as an average for all three-time points reported (4, 8, and 12 hours after infection).",,,Non-Causal
17,SeMac has endopeptidase activity against human IgG.,,,Non-Causal
18,The gel mobility shift assay and footprinting analysis revealed that Mlc repressed hilE in a direct manner by binding to two distinct sites in the hilE P3 promoter region.,by binding to two distinct sites in the hilE P3 promoter region,Mlc repressed hilE in a direct manner,Causal
19,The hyaluronic acid capsule and S. equi M-like protein (SeM) are both required for the resistance to phagocytosis by PMNs [16-17].,,,Non-Causal
20,Our data clearly demonstrate that Mlc directly regulates hilE expression by binding to the hilE P3 promoter (Figure 5).,by binding to the hilE P3 promoter,Mlc directly regulates hilE expression,Causal
21,A GroEL homologue is present in P. luminescens (Plu4134) which the P. luminescens UspG homologues might interact with.,,,Non-Causal
22,"Additionally, the over-expression of HilD from the plasmid pJB3 containing hilD gene under the control of a lac promoter caused the induction of hilA by approximately2-fold and invF by approximately6-fold irrespective of hilE or mlc mutation when real-time PCR was used to compare the expression levels (data not shown).",the over-expression of HilD from the plasmid pJB3 containing hilD gene under the control of a lac promoter,the induction of hilA by approximately2-fold and invF by approximately6-fold irrespective of hilE or mlc mutation when real-time PCR was used to compare the expression levels,Causal
23,"The transcriptional start site of the mfa1 gene located at 434 bp upstream of the putative start codon was detected, which is also 390 bp upstream of the site previously reported (Park et al., 2006).",,,Non-Causal
24,These results indicate that the periplasmic glutamates are required for responding to mild acid pH.,,,Non-Causal
25,"Furthermore, both insecticidal bacteria produce a chitin-binding-like protein (Plu2352, YE3576), but chitinase-like proteins (Plu2235, Plu2458 and Plu2461) are without homologues in Y. enterocolitica.",,,Non-Causal
26,The cheB1 mutant was used to feed C. elegans in the slow killing assay and the survival percentage was compared to those obtained when using the cheB2 mutant or the parental TB strain (Figure 3C).,The cheB1 mutant was used to feed C. elegans in the slow killing assay and the survival percentage was compared to those obtained when using the cheB2 mutant or the parental TB strain,"Interestingly, the cheB1 mutant showed no significant reduction in C. elegans killing when compared to the parental TB strain, with only 36% of the worms alive after 4 days post infection",Causal
27,"SseL was immunoprecipitated specifically along with SrcA-FLAG with a SILAC ratio of 0.08, whereas additional abundant proteins displayed SILAC ratios closer to approximately1 (OmpF is shown, Fig. 5B) (mean SILAC ratio of all other peptides identified was 0.93 (Dataset S1).",,,Non-Causal
28,"This medium lacked Fe3+ or Al3+, the only known PmrB ligands (Wosten et al., 2000), and contained 10 mM MgCl2, which represses expression of PmrA-activated genes (Soncini and Groisman, 1996; Kox et al., 2000).","This medium lacked Fe3+ or Al3+, the only known PmrB ligands (Wosten et al., 2000), and contained 10 mM MgCl2",which represses expression of PmrA-activated genes,Causal
29,"In total, the absence of SalK/SalR led to decreased expression of 26 genes spread throughout the genome (i.e. 1.2% of the 2194 tested).",the absence of SalK/SalR,decreased expression of 26 genes spread throughout the genome (i.e. 1.2% of the 2194 tested),Causal
30,SeMac indeed inhibits the opsonophagocytosis of GAS by human PMNs (Fig. 5B).,,,Non-Causal
31,The sequential phosphorylation of sensors/regulatory proteins is reminiscent of a regulatory cascade in which each phosphorylation event acts as a trigger for bacterial biofilm cells to transition to the next developmental stage (Fig. 6).,,,Non-Causal
32,"In this study, cluster analysis was used to identify genes that show similar expression profiles under a variety of environmental conditions and from the isogenic Salmonella regulatory mutants we describe.","In this study, cluster analysis was used to identify genes that show similar expression profiles under a variety of environmental conditions and from the isogenic Salmonella regulatory mutants we describe",application of the CLR algorithm identified a very interesting group of genes that are co-regulated with SPI-2 and were horizontally transferred to Salmonella,Causal
33,"Results Deletion of rpoE affects a subset of SsrB-regulated virulence genes Salmonella virulence gene expression is coordinated in vivo and may be regulated, in part, by alternative sigma factor(s) in order to quickly respond to the host environment.",,,Non-Causal
34,A number of overlapping cosmid clones that gave enhanced growth and survival in the spleens of infected mice relative to that of wild-type H37Ra were identified [9].,,,Non-Causal
35,"Glucose and mannose induce the Mlc regulon (39) by dephosphorylating EIICBGlc, which then sequesters Mlc from its binding sites (27,43).",by dephosphorylating EIICBGlc,Glucose and mannose induce the Mlc regulon,Causal
36,"In this study, we characterized the Y. pestis transcriptome in blocked Xenopsylla cheopis rat fleas, an important vector of plague to humans.",,,Non-Causal
37,We have found that Mlc activates SPI1 gene expression by repressing hilE expression.,by repressing hilE expression,Mlc activates SPI1 gene expression,Causal
38,"Neighbor Clustering and Operons Although neighbor clustering is not an operon-predicting method, we wanted to identify additional putative operons among the groupings since neighbor clusters by definition share certain operon characteristics (tandemly arranged genes, separated by <300 bp, with similar expression patterns).",,,Non-Causal
39,"However, two major emerging infectious disease outbreaks of SS2 in China (one in Jiangsu Province, 1998, and the other in Sichuan Province, 2005), raised considerable international concerns among the public health professionals [3], [4].",,,Non-Causal
40,"As acute CF exacerbations caused by P. aeruginosa are often treated with combination antibiotic therapy [8]-[10], the increased resistance of biofilms to combination antibiotics is of direct clinical relevance.",,,Non-Causal
41,"Type III clusters (n = 2) were composed entirely of unknown genes (Figures 2D and S4), and are not discussed in detail.",,,Non-Causal
42,"Despite the upregulation of phoP in the flea, with the notable exception of mgtC there was little correlation between predicted PhoP-regulated genes in vitro and genes upregulated in the flea [39],[46],[47].",,,Non-Causal
43,"Loss of bfiS, bfmR, and mifR expression due to arabinose removal resulted in the collapse of the mutant biofilm architecture within three days.",,,Non-Causal
44,"To detect dependencies among genes over different conditions we employed the context likelihood of relatedness algorithm (CLR; [19]), which is a plugin for SEBINI.",,,Non-Causal
45,"As the concentration of rFimR increased, the retarded protein-DNA complex became evident, with complete loss of the mfa1 promoter DNA.",,,Non-Causal
46,"HilA plays a crucial role in the expression of genes that encode the SPI1-T3SS apparatus, the prg and inv/spa operons, by binding upstream of prgH and invF (10).",binding upstream of prgH and invF,"HilA plays a crucial role in the expression of genes that encode the SPI1-T3SS apparatus, the prg and inv/spa operons",Causal
47,Activation of BfiR coincides with BfiS phosphorylation following 8 hours of surface attached growth and dephosphorylation of RpoD (Table 1).,,,Non-Causal
48,The overall stage-specific (de)phosphorylation events as well as the differences in the phosphoproteome were similar to those detected by immunoblot analysis using anti-Ser/Thr antibodies.,,,Non-Causal
49,"This fact correlates once more with the separate lifestyle of both bacteria, e.g. association with the host and persistence for Y. enterocolitica, and association and bioconversion of the insect in case of P. luminescens.",,,Non-Causal
50,A low-copy plasmid containing full-length rpoE and the three endogenous promoters that can drive its expression [20] was able to restore wild type levels of SseB to DeltarpoE cells (Figure 1B) demonstrating that the results were specific to the rpoE deletion.,A low-copy plasmid containing full-length rpoE and the three endogenous promoters that can drive its expression [20] was able to restore wild type levels of SseB to DeltarpoE cells,the results were specific to the rpoE deletion,Causal
51,At 10 h after infection the majority of SCVs were situated near the nucleus in accordance with previous work (Fig. 6A) [29].,,,Non-Causal
52,"In contrast, no reduction of the wild type biofilm architecture was observed (Fig. 5, Table 3).",,,Non-Causal
53,"Because no tools exist to interpret unknown gene clusters or to assess their significance and completeness, a significant portion of bacterial expression profiles are not interpretable using current clustering methods.",,,Non-Causal
54,"This test is based on the presentation of the immunodominant epitope contained in the first 20 amino acids of ESAT-6 by H37Ra, recombinant H37Ra, or H37Rv infected bone marrow-derived dendritic cells (BM-DC) to an ESAT-6-specific T cell hybridoma (NB11), restricted by I-Ab.",,,Non-Causal
55,The expression of srcA is coordinated with T3SS transcriptional activity via the SsrA-SsrB two-component regulatory system encoded in SPI-2.,,,Non-Causal
56,"The hilE P3 promoter is repressed by Mlc Baxter and Jones (18) have identified two independent hilE promoters, P1 and P2.",,,Non-Causal
57,We recently described this type of regulatory evolution for pathogenic adaptation of Salmonella to its host [21] and srcA is consistent with regulatory evolution of chaperone-effector gene pairs that are not co-transcribed in operons.,,,Non-Causal
58,"In response to stimuli, the sensor kinase autophosphorylates, then transfers its phosphate to its cognate response regulator to control the transcription of target genes [1].",,,Non-Causal
59,"The authors have recently reported that the short fimbriae are required for P. gingivalis cell-cell aggregation, an essential step in microcolony formation (Lin et al., 2006).",,,Non-Causal
60,"Similar to CesT and SicP, the dimer interface of SrcA adopts a parallel configuration when comparing alpha2 helices of opposing subunits.",,,Non-Causal
61,"Consistently, the high mortality and histopathological findings which lacks PMN infiltration in mice tissues infected with csrS-mutated GAS (Figure 7) are similar to those seen in clinical invasive GAS infections [32].",,,Non-Causal
62,By this combined approach we identified 13 non-synonymous SNPs that differed between the H37Ra and H37Rv strains used (Table S1).,,,Non-Causal
63,Our work shows the first chaperone-ATPase interaction for a T3SS functioning from within an intracellular vacuolar compartment and supports this interaction as a more generalize feature of type III secretion function.,,,Non-Causal
64,Phenotypic variation and thus the switch between mutualism and pathogenicity in P. luminescens is proposed to be regulated by a Ner-like and a HexA-like regulator that repress primary variant specific genes in the stage of the secondary variant [17].,,,Non-Causal
65,In this study we sought to examine if the presence of DNA in biofilms may contribute to biofilm-specific antibiotic resistance.,,,Non-Causal
66,The genes PA3552-PA3559 are co-regulated under low Mg2+ conditions and are thought to be organized as an operon [45]-[47].,,,Non-Causal
67,P. aeruginosa has multiple copies of chemotaxis genes arranged in five clusters (Figure 1) [22].,,,Non-Causal
68,"Alternatively, the gabD and gabT gene products might act in the reverse direction to synthesize GABA, which has osmoprotective properties [13].",,,Non-Causal
69,"In the present study, we attempted to generate the deletion mutant of salKR and assess the contribution of this TCSTS to the high pathogenicity of Chinese SS2 strains.",,,Non-Causal
70,"Clustering algorithms group genes by similarities in expression patterns, based on the assumption that co-expressed genes share common function or regulation [3,4]; however, clustering solely by co-expression patterns may not reveal a considerable amount of information contained in array data.",,,Non-Causal
71,"Although the delineation of genes influenced by RopB (or any identified transcriptional regulator) is beyond the scope of this study, our initial analysis did identify the upregulation of a two-component regulatory system, encoded by spy1236-1237.",,,Non-Causal
72,"On the other hand, when genomic DNA was used as a template, all these primer pairs yielded the expected PCR products (Fig. 2B, PCR).",,,Non-Causal
73,An alignment of the amino acid sequences corresponding to the putative periplasmic domain of the PmrB proteins from six enteric species revealed that nine residues are highly conserved (Fig. 6A).,,,Non-Causal
74,The concentration at which maximal protection was obtained for each cation is represented in Fig 3A (25 mM Mg2+; 6.25 mM Ca2+; 6.25 Mn2+; 3.125 mM Zn2+).,,,Non-Causal
75,"Indeed, M. tuberculosis has retained many secrets of its so successful pathogenic lifecycle.",,,Non-Causal
76,"Two different minimal media conditions were used depending only on pre-growth conditions as described in the Materials and Methods (called acidic minimal media (AMM)1 and AMM2 here); these conditions are identical to conditions previously reported for expression of SPI-2; [47],[48].",,,Non-Causal
77,"Interestingly, carbohydrate regulation of hilE and hilD expression in the mlc mutant created a different story.",,,Non-Causal
78,"However, DeltasalKR had a higher mortality rate than that of WT, which means that DeltasalKR was less able to resist killing by PMNs, key mediators of innate immunity.","DeltasalKR had a higher mortality rate than that of WT, which means that DeltasalKR was less able to resist killing by PMNs, key mediators of innate immunity",the virulence loss in DeltasalKR,Causal
79,"A total of 56 of the original 79 significant genes became components of significant clusters, whereas 23 remained unclustered.",,,Non-Causal
80,"As shown in Figure 7A, the NIH230 strain caused bacteremia in mice 24 h after intraperitoneal injection whereas the bacteremia was barely detected in mice infected with NIH230::csrS+as well as the 1566 strain (p=0.005 compared with non-invasive isolates, and p=0.005 compared with invasive isolates +CsrS).",,,Non-Causal
81,"HilC and HilD also directly activate the alternative promoter of the invF operon, which is independent of HilA (15,16).",,,Non-Causal
82,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,infection of chicken macrophages,Causal
83,"Although the analysis of this previously published dataset did not reveal as many intact biological pathways as were identified from the pharyngeal cell adherence data, the inclusion of more replicates in the analysis to increase statistical power could resolve such loci.",,,Non-Causal
84,"Here, we developed a high throughput screening method, in which C. elegans killing is assessed in a liquid assay and which allows a quick selection of attenuated candidates within large transposon libraries of P. aeruginosa.",,,Non-Causal
85,Double staining of P. aeruginosa with syto9 (stains viable cells green) and the extracellular DNA stain DDAO (red) [51] was used to visualize DNA as a loose lattice in biofilms formed on polystyrene pegs after 24 h (Fig 5A).,,,Non-Causal
86,"Addition of excess Mg2+ (5 mM) to the growth medium completely repressed the expression of PA3553 in cultures supplemented with DNA, except at the highest DNA concentration tested (0.5% (w/v)) (Fig 4B).",,,Non-Causal
87,"In contrast, more than 50% of the worms were killed within 24 h when cultured with any one of three isolates of P. aeruginosa, PA14, PAO1 and TB (data not shown).",,,Non-Causal
88,S2).,,,Non-Causal
89,Most of the genes are located in two large gene clusters (plu0918-0925 and plu2001-2019).,,,Non-Causal
90,We introduce neighbor clustering as a new tool for analyzing bacterial microarray data that addresses some of these limitations by incorporating the physical position of genes on the bacterial chromosome into the analysis of expression data.,,,Non-Causal
91,"The che2 genes from cluster II, and more particularly the cheB2 gene, were initially identified as required for an optimal chemotactic response in P. aeruginosa.",,,Non-Causal
92,"Results of real-time quantitative RT-PCR also confirmed that, in the complemented strain CDeltasalKR, only partial genes identified as down-regulated in the mutant rebounded to comparative transcript levels of the wild-type strain.","Results of real-time quantitative RT-PCR also confirmed that, in the complemented strain CDeltasalKR, only partial genes identified as down-regulated in the mutant rebounded to comparative transcript levels of the wild-type strain",the bacterial virulence of SS2,Causal
93,"Moreover, a mutant expressing a derivative of the PmrA protein that cannot be phosphorylated due to substitution of the putative phosphorylation residue aspartate 51 by alanine (Kato and Groisman, 2004) completely failed to promote transcription of PmrA-activated genes in response to pH 5.8, in a similar fashion to the pmrA strain (A.","Moreover, a mutant expressing a derivative of the PmrA protein that cannot be phosphorylated due to substitution of the putative phosphorylation residue aspartate 51 by alanine","completely failed to promote transcription of PmrA-activated genes in response to pH 5.8, in a similar fashion to the pmrA strain",Causal
94,"Deletion of rseA in Yersinia pseudotuberculosis causes elevated virulence effector synthesis and secretion [18], establishing links between alternative sigma factors and virulence-specific regulators.",Deletion of rseA in Yersinia pseudotuberculosis,"elevated virulence effector synthesis and secretion [18], establishing links between alternative sigma factors and virulence-specific regulators",Causal
95,"Five out of six piglets succumbed to the lethal infections of CDeltasalKR and died, with median survival times of 2 to 3 days.","Five out of six piglets succumbed to the lethal infections of CDeltasalKR and died, with median survival times of 2 to 3 days",SalK/SalR plays an important role in the pathogenesis of Chinese isolates of highly invasive SS2,Causal
96,"Relative to its expression in wild type cells, the level of SrfN-2HA was reproducibly increased in the DeltarpoE cells, suggesting a role for sigmaE in the repression of SrfN, although it is unlikely that this is through a direct mechanism.","Relative to its expression in wild type cells, the level of SrfN-2HA was reproducibly increased in the DeltarpoE cells","a role for sigmaE in the repression of SrfN, although it is unlikely that this is through a direct mechanism",Causal
97,"Introduction Streptococcus suis (S. suis) is considered an important zoonotic pathogen causing a variety of life-threatening infections that include meningitis, arthritis, septicaemia and even sudden death in pigs and humans [1], [2].",,,Non-Causal
98,"The 2-3-fold decrease in hilD expression caused by the mlc mutation is sufficient to account for the nearly 10-fold decrease in hilA and invFA transcription, owing to the nature of the feed-forward regulatory loop, in that moderate effects on HilD production are amplified (9).",the mlc mutation,The 2-3-fold decrease in hilD expression,Causal
99,"Recrudescence of latent bacilli contributes significantly to the incidence of adult tuberculosis [2], yet the physiological state of latent bacilli and the signals that promote dormancy in the host remain incompletely defined.",,,Non-Causal
100,"Figure 4B shows that the amount of IL-8 was significantly reduced by 60-min co-culture with NIH230, as well as NIH230slo, but not with non-invasive GAS 1556.",,,Non-Causal
101,Both genomes share an UspA-like (Plu0121 and YE4050) and an UspE-like (Plu2178 and YE2076) homologue.,,,Non-Causal
102,"While the idea that the Che2 system might be a specialized chemotaxis system required during host infection is appealing, further experiments are required to understand the chain of command, which switches on the Che2 system and directs the physiological response of P. aeruginosa to Che2 sensing.",,,Non-Causal
103,"The crystal structure of M. tuberculosis Rv2623: Dimer assembly and ATP-binding capacity To examine the biochemical mechanisms responsible for Rv2623 function, we determined the crystal structure of wild-type Rv2623 at a resolution of 2.9 A.",,,Non-Causal
104,"Up to the present time, we are far away from understanding the complexity of bacteria-invertebrate interactions.",,,Non-Causal
105,"Primary variants are found to produce extracellular protease, extracellular lipase, intracellular protein crystals CipA and CipB, antibiotics, and are bioluminescent.",,,Non-Causal
106,Experiments designed to investigate the potential ATP-hydrolyzing activity of Rv2623 are currently underway.,,,Non-Causal
107,"Consistent with the results for SseB, there was a decrease in SifA-2HA levels in DeltarpoE compared to wild type, although deletion of rpoE did not have an effect on SseL-2HA.",Consistent with the results for SseB,although deletion of rpoE did not have an effect on SseL-2HA,Causal
108,"These observations, and the fact that the Yersinia Tc proteins have toxicity to certain eukaryotic cell lines in vitro [50],[51], prompted us to investigate a possible post-transmission antiphagocytic role for these proteins in the mammalian host.",,,Non-Causal
109,"Whether they sense self-produced or external AI-2, or a combination of both, indicating a quorum sensing mechanism or a regulation similar to AHL as described above, remains to be elucidated.",,,Non-Causal
110,"Blockage occurred between 1.5 and 3.5 weeks after the initial infectious blood meal, during which time the fleas fed on uninfected mice twice weekly.",,,Non-Causal
111,"Other virulence and transmission factors were not differentially regulated, including the hms genes; and the Y. pestis plasminogen activator (pla), critical for dissemination from extravascular tissue at the fleabite site [33], and ymt were highly expressed in both hosts (Table S3 and [11]).",,,Non-Causal
112,"Recently, Teplitski et al. (48) have reported that the expression of sirA, which is a response regulator for BarA (49), is decreased in the presence of 50mM glucose.",in the presence of 50mM glucose,"the expression of sirA, which is a response regulator for BarA (49), is decreased",Causal
113,"We monitored transcription of seven genes within SPI-2, covering each operon at least once, and used gyrB transcript as an internal control.",,,Non-Causal
114,"The MIC values for polymyxin B and gentamicin are equal to 1 microg/ml and 2 microg/ml, respectively, using the standard microbroth dilution method for antimicrobial susceptibility testing (National Committee on Clinical Laboratory Standards (NCCLS) protocol) (data not shown).",,,Non-Causal
115,BALB/c mice infection to eliminate other regulators required only for gastrointestinal infection or persistence but most of these strains were avirulent in another strain of mice (129X1/SvJ) and by other route (intragastric) of infection (see Table S1).,,,Non-Causal
116,SsaN existed as a monomer with a minor population eluting in a volume consistent with a probable dimer (Fig. 4B).,,,Non-Causal
117,"Here we report that this activation requires both PmrA's cognate sensor kinase PmrB, which had been previously shown to respond to Fe3+ and Al3+, and PmrA's post-translational activator PmrD.","that this activation requires both PmrA's cognate sensor kinase PmrB, which had been previously shown to respond to Fe3+ and Al3+, and PmrA's post-translational activator PmrD","Growth in mild acid (pH 5.8) promotes transcription of genes activated by the response regulator PmrA, but the signalling pathway(s) that mediates this response has thus far remained unexplored",Causal
118,"The acid tolerance response of Salmonella results in the synthesis of over 50 acid shock proteins (Bearson et al., 1998) that are likely to function primarily when variations in internal pH occur, i.e. when Salmonella experiences severe acidic conditions (pH approximately3) (Foster, 2004).",The acid tolerance response of Salmonella,the synthesis of over 50 acid shock proteins,Causal
119,"We applied the GenomeCrawler algorithms to the statistically analyzed dataset, which identified an expanded group of genes (107 versus four) contained within 36 statistically significant clusters (PK < 0.05; Table S9).",,,Non-Causal
120,"However, the TB1459i strain (cheB1 mutant) was no longer able to move towards the attractant, and thus showed a defect in this chemotaxis assay (Figure S4).","However, the TB1459i strain (cheB1 mutant) was no longer able to move towards the attractant",showed a defect in this chemotaxis assay,Causal
121,"As shown in Fig. 4B, cluster analysis based on protein similarity confirmed our previous findings obtained by microscopic and phosphoproteome analyses of mutant biofilms.",,,Non-Causal
122,Perhaps these regulators are selected during growth in other cell types or within phagocytic cells that are activated as a consequence of the inflammatory response generated by the bacteria.,,,Non-Causal
123,"In summary, Y. pestis appears to use amino acids, particularly the L-glutamate family, as primary carbon, nitrogen, and energy sources in the flea.",,,Non-Causal
124,The effects of various sugars on the differential regulation of SPI1 genes require further investigation to understand their roles in Salmonella pathogenesis.,,,Non-Causal
125,"This result is striking, given that STM3117-3120 are not transcribed under a variety of in vitro conditions including AMM1 and 2 and the many conditions corresponding to the transcriptional profiles reported for microarrays archived in GEO ([68], J.",,,Non-Causal
126,GacS acts as a suppressor of RetS (and vice versa) with RetS regulating the suppressor activity of the membrane-bound sensor GacS by directly modulating its phosphorylation state [38].,,,Non-Causal
